CD_MUN,Pop 2018,GDP,GDP Tax,GDP Agro,GDP Indu,GDP Serv Pri,GDP Serv Publ
3522802,15125,321102,30692,32945,12339,187361,57766
3522901,13833,665412,105260,16578,203933,283487,56154
3523008,4860,91508,3071,30068,4093,28045,26231
3523107,366519,7212560,933083,9029,1642942,3421610,1205896
3523206,50360,878884,61428,74816,89940,473250,179450
3523305,17271,276174,9944,100692,12013,91395,62131
3523404,119090,6051184,1103366,506475,1703452,2257143,480747
3523503,20467,410393,28910,77986,78420,144874,80203
3523602,17922,411187,59782,47602,36322,184367,83114
3523701,6453,98574,2084,27665,7974,33235,27616
3523800,7830,124807,7535,22518,9820,58016,26918
3523909,172268,7831498,1496451,34689,1832248,3767064,701046
3524006,59649,6690186,1367493,27842,2471217,2521972,301663
3524105,41598,1524622,177055,141345,358525,672446,175251
3524204,6911,137849,4660,46114,7826,47899,31350
3524303,76864,2906847,285974,166764,568721,1560782,324605
3524402,231863,12705393,2446801,22871,4003768,5368627,863325
3524501,6934,393180,52799,25500,151864,133629,29389
3524600,17842,530424,35271,133825,35856,257545,67928
3524709,56221,11529844,2665658,12244,3165982,5394179,291781
3524808,49011,1546576,120950,66359,234720,943515,181031
3524907,6485,238350,54873,4438,89191,56964,32884
3525003,123481,4014711,824510,501,895960,1863075,430665
3525102,43774,1096985,121385,69791,143622,575839,186348
3525201,29456,2510283,400773,33599,417800,1500268,157842
3525300,148581,4733100,466176,79130,753166,2894651,539978
3525409,3168,82386,1632,33363,6218,23526,17648
3525508,13098,213005,10458,19335,12658,119736,50817
3525607,4495,120874,3315,60956,2939,30876,22788
3525706,36655,1320742,109233,114858,340894,601995,153762
3525805,4752,51127,1862,5861,1283,20891,21230
3525854,3315,131511,16421,12081,51261,34790,16958
3525904,414810,43632891,8386218,110248,8459357,24669958,2007109
3526001,20524,576141,52947,56990,97659,288087,80459
3526100,18908,328899,14715,84631,22166,133722,73664
3526209,31235,513904,44975,664,50112,304020,114133
3526308,4903,56591,2014,6516,3230,23598,21232
3526407,28240,1112580,145362,31613,405932,417345,112329
3526506,11667,157515,6202,55387,4382,45035,46510
3526605,7207,109957,10387,3567,25745,39313,30944
3526704,102412,3207602,407965,66964,816073,1522756,393844
3526803,67859,2639062,321297,88585,709586,1241510,278083
3526902,303682,13192025,1946662,75332,4101581,5926330,1142120
3527009,7864,182325,15298,5306,50126,76583,35011
3527108,77510,3785366,357744,92921,1412888,1660501,261312
3527207,88276,2826718,324696,9106,761100,1419801,312015
3527256,2278,40048,1338,10167,2137,12565,13841
3527306,47748,10963452,2368923,31284,1677715,6577738,307792
3527405,21604,441170,43486,23069,93984,197520,83112
3527504,2385,57006,1744,20488,3224,16283,15266
3527603,14592,1509302,149529,81362,870925,332874,74612
3527702,5723,71747,1917,16417,3876,26283,23252
3527801,4571,77358,3204,12122,12100,29063,20869
3527900,2663,85265,2259,40318,7758,18794,16136
3528007,17111,628368,79904,40574,51553,383710,72626
3528106,8093,154750,7946,32950,6035,75700,32119
3528205,3704,78572,2562,29192,6878,21168,18773
3528304,3136,93560,4178,31591,5146,32528,20117
3528403,46852,1896801,280006,16141,670167,715201,215286
3528502,98374,1748553,184515,754,338183,886882,338219
3528601,9780,228639,16518,52771,30297,91995,37057
3528700,5757,101579,2075,43126,3799,22213,30366
3528809,13967,412434,30638,71318,57382,191830,61265
3528858,2996,179409,13957,38323,59691,49033,18405
3528908,4077,56776,1243,17706,3207,16493,18128
3529005,237130,8082306,854503,72622,1184512,5028968,941700
3529104,2117,34731,959,7000,1881,11687,13205
3529203,26289,496100,31724,44609,62467,248202,109097
3529302,82702,4153989,503865,84911,1577193,1684013,304007
3529401,468148,15287483,2269516,14,4989657,6550839,1477457
3529500,5413,233513,21418,18864,89307,75547,28377
3529609,3848,241157,21656,28583,89511,78829,22578
3529658,1910,58798,1155,27659,2671,13304,14008
3529708,22093,1015273,19889,311118,357467,227334,99465
